4,123.0,Car,2000-02-21,For the fuel
5,1000.0,Food,2005-11-11,I was hangry
7,8.99,Groceries,2023-05-15,Bought snacks for the trip
8,24.5,Transportation,2024-01-22,Uber ride to airport
9,150.0,Electronics,2022-12-03,New wireless headphones
10,12.75,Food,2023-08-30,Lunch with colleagues
11,1000.0,Rent,2024-02-01,Monthly apartment payment
12,45.2,Entertainment,2023-11-18, Movie tickets and popcorn
13,3.99,Food,2024-03-05,Emergency chocolate purchase
14,78.4,Healthcare,2022-09-14,Pharmacy prescription
